DATABASE ID,ENGLISH,SPANISH,TURKISH,JAPANESE,CHINESE,ITALIAN,FRENCH,GERMAN,RUSSIAN,DUTCH,HEBREW,ARABIC,GREEK,PORTUGUESE,HINDI,KOREAN
227,"Virgin Islands, U.S.","Islas Vírgenes, EE.UU.","Virgin Adaları, ABD",米領バージン諸島,美国维尔京群岛，,"Isole Vergini, USA",Iles Vierges américaines,"Virgin Islands, US","Виргинские острова, США",Amerikaanse Maagdeneilanden,"איי הבתולה, ארה""ב",الجزر العذراء، الولايات المتحدة,Αμερικανικές Παρθένοι Νήσοι,"Ilhas Virgens, EUA","वर्जिन द्वीप समूह, अमेरिकी","버진 군도, 미국"
2,Andorra,Andorra,Andorra,アンドラ,安道​​尔,Andorra,Andorre,Andorra,Андорра,Andorra,אנדורה,أندورا,Ανδόρα,Andorra,एंडोरा,안도라
5,Albania,Albania,Arnavutluk,アルバニア,阿尔巴尼亚,Albania,Albanie,Albanien,Албания,Albanië,אלבניה,ألبانيا,Αλβανία,Albânia,अल्बानिया,알바니아
9,Armenia,Armenia,Ermenistan,アルメニア,亚美尼亚,Armenia,Arménie,Armenien,Армения,Armenië,ארמניה,أرمينيا,Αρμενία,Armênia,अर्मेनिआ,아르메니아
13,Austria,Austria,Avusturya,オーストリア,奥地利,Austria,Autriche,Österreich,Австрия,Oostenrijk,אוסטריה,النمسا,Αυστρία,Áustria,ऑस्ट्रिया,오스트리아
14,Azerbaijan,Azerbaiyán,Azerbeycan,アゼルバイジャン,阿塞拜疆,Azerbaijan,Azerbaïdjan,Aserbaidschan,Азербайджан,Azerbeidzjan,אזרבייג'אן,أذربيجان,Αζερμπαϊτζάν,Azerbaijão,अज़रबैजान,아제르바 이잔
16,Belgium,Bélgica,Belçika,ベルギー,比利时,Belgio,Belgique,Belgien,Бельгия,België,בלגיה,بلجيكا,Βέλγιο,Bélgica,बेल्जियम,벨기에
20,Bulgaria,Bulgaria,Bulgaristan,ブルガリア,保加利亚,Bulgaria,Bulgarie,Bulgarien,Болгария,Bulgarije,בולגריה,بلغاريا,Βουλγαρία,Bulgária,बुल्गारिया,불가리아
23,Bosnia and Herzegovina,Bosnia y Herzegovina,Bosna Hersek,ボスニア·ヘルツェゴビナ,波斯尼亚和黑塞哥维那,Bosnia-Erzegovina,Bosnie-Herzégovine,Bosnien und Herzegowina,Босния и Герцеговина,Bosnië-Herzegovina,בוסניה והרצגובינה,البوسنة والهرسك,Βοσνία και Ερζεγοβίνη,Bósnia e Herzegovina,बोस्निया और हर्ज़िगोविना,보스니아 - 헤르체 고 비나
24,Belarus,Belarús,Beyaz rusya,ベラルーシ,白俄罗斯,Bielorussia,Belarus,Weißrussland,Беларусь,Wit-Rusland,בלארוס,روسيا البيضاء,Λευκορωσία,Bielorrússia,बेलारूस,벨라루스
35,Switzerland,Suiza,İsviçre,スイス,瑞士,Svizzera,Suisse,Schweiz,Швейцария,Zwitserland,שוויץ,سويسرا,Ελβετία,Suíça,स्विजरलैंड,스위스
36,Channel Islands,Islas del Canal,Channel Islands,チャンネル諸島,海峡群岛,Isole del Canale,Iles Anglo-Normandes,Channel Islands,Нормандские острова,Channel Islands,איי התעלה,جزر القنال,Νησιά της Μάγχης,Ilhas do Canal,चैनल द्वीपसमूह,채널 아일랜드
48,Cyprus,Chipre,Kıbrıs,キプロス,塞浦路斯,Cipro,Chypre,Zypern,Кипр,Cyprus,קפריסין,قبرص,Κύπρος,Chipre,सायप्रस,키프로스
49,Czech Republic,La República Checa,Çek Cumhuriyeti,チェコ共和国,捷克共和国,Repubblica Ceca,République tchèque,Tschechische Republik,Чешская республика,Tsjechische Republiek,צ'כיה,جمهورية التشيك,Τσεχική Δημοκρατία,República Checa,चेक गणराज्य,체코 공화국
50,Germany,Alemania,Almanya,ドイツ,德国,Germania,Allemagne,Deutschland,Германия,Duitsland,גרמניה,ألمانيا,Γερμανία,Alemanha,जर्मनी,독일
53,Denmark,Dinamarca,Danimarka,デンマーク,丹麦,Danimarca,Danemark,Dänemark,Дания,Denemarken,דנמרק,الدنمارك,Δανία,Dinamarca,डेनमार्क,덴마크
64,Spain,España,İspanya,スペイン,西班牙,Spagna,Espagne,Spanien,Испания,Spanje,ספרד,إسبانيا,Ισπανία,Espanha,स्पेन,스페인
65,Estonia,Estonia,Estonya,エストニア,爱沙尼亚,Estonia,Estonie,Estland,Эстония,Estland,אסטוניה,استونيا,Εσθονία,Estônia,एस्तोनिया,에스 토니아
67,Finland,Finlandia,Finlandiya,フィンランド,芬兰,Finlandia,Finlande,Finnland,Финляндия,Finland,פינלנד,فنلندا,Φινλανδία,Finlândia,फ़िनलैंड,핀란드
69,France,Francia,Fransa,フランス,法国,Francia,France,Frankreich,Франция,Frankrijk,צרפת,فرنسا,Γαλλία,França,फ्रांस,프랑스
70,Faeroe Islands,Islas Feroe,Faroe Adaları,フェロー諸島,法罗群岛,Isole Fær Øer,Iles Féroé,Färöer-Inseln,Фарерские острова,Faeröer,איי פארו,جزر فارو,Νήσοι Φερόες,Ilhas Faroé,फ़ैरो आइलैंड्स,페로 제도
73,United Kingdom,Reino Unido,Büyük Britanya,イギリス,联合王国,Regno Unito,Royaume-Uni,Vereinigtes Königreich,Великобритания,Verenigd Koninkrijk,בריטניה,المملكة المتحدة,Ηνωμένο Βασίλειο,Reino Unido,यूनाइटेड किंगडम,연합 왕국
74,Georgia,Georgia,Georgia,ジョージア州,格鲁吉亚,Georgia,Géorgie,Georgien,Грузия,Georgië,גאורגיה,جورجيا,Γεωργία,Geórgia,जॉर्जिया,그루지야
81,Greece,Grecia,Yunanistan,ギリシャ,希腊,Grecia,Grèce,Griechenland,Греция,Griekenland,יון,يونان,Ελλάδα,Grécia,ग्रीस,그리스
83,Greenland,Groenlandia,Grönland,グリーンランド,格陵兰,Groenlandia,Groenland,Grönland,Гренландия,Groenland,גרינלנד,غرينلاند,Γροιλανδία,Groenlândia,ग्रीनलैंड,그린란드
91,Croatia,Croacia,Hırvatistan,クロアチア,克罗地亚,Croazia,Croatie,Kroatien,Хорватия,Kroatië,קרואטיה,كرواتيا,Κροατία,Croácia,क्रोएशिया,크로아티아
93,Hungary,Hungría,Macaristan,ハンガリー,匈牙利,Ungheria,Hongrie,Ungarn,Венгрия,Hongarije,הונגריה,هنغاريا,Ουγγαρία,Hungria,हंगरी,헝가리
97,Ireland,Irlanda,İrlanda,アイルランド,爱尔兰,Irlanda,Irlande,Irland,Ирландия,Ierland,אירלנד,أيرلندا,Ιρλανδία,Irlanda,आयरलैंड,아일랜드
100,Iceland,Islandia,İzlanda,アイスランド,冰岛,Islanda,Islande,Island,Исландия,IJsland,איסלנד,أيسلندا,Ισλανδία,Islândia,आइसलैंड,아이슬란드
102,Italy,Italia,İtalya,イタリア,意大利,Italia,Italie,Italien,Италия,Italië,איטליה,إيطاليا,Ιταλία,Itália,इटली,이탈리아
106,Kazakhstan,Kazajstán,Kazakistan,カザフスタン,哈萨克斯坦,Kazakhstan,Kazakhstan,Kasachstan,Казахстан,Kazachstan,קזחסטן,كازاخستان,Καζακστάν,Cazaquistão,कजाखस्तान,카자흐스탄
108,Kyrgyzstan,Kirguistán,Kırgızistan,キルギスタン,吉尔吉斯斯坦,Kirghizistan,Kirghizistan,Kirgisistan,Киргизия,Kirgizië,קירגיזסטן,قرغيزستان,Κιργιστάν,Quirguistão,किर्गिस्तान,키르 기스 스탄
129,Lithuania,Lituania,Litvanya,リトアニア,立陶宛,Lituania,Lituanie,Litauen,Литва,Litouwen,ליטא,ليتوانيا,Λιθουανία,Lituânia,लिथुआनिया,리투아니아
130,Luxembourg,Luxemburgo,Lüksemburg,ルクセンブルク,卢森堡,Lussemburgo,Luxembourg,Luxemburg,Люксембург,Luxemburg,לוקסמבורג,لوكسمبورغ,Λουξεμβούργο,Luxemburgo,लक्ज़मबर्ग,룩셈부르크
142,"Macedonia, Former Yugoslav Republic of","Macedonia, Antigua República Yugoslava de","Makedonya, Eski Yugoslav Cumhuriyeti",マケドニア旧ユーゴスラビア共和国,马其顿，前南斯拉夫共和国,"Macedonia, ex Repubblica iugoslava di","Macédoine, Ex-République yougoslave de","Mazedonien, ehemalige jugoslawische Republik","Македония, Бывшая Югославская Республика","Macedonië, Voormalige Joegoslavische Republiek","מקדוניה, הרפובליקה היוגוסלבית לשעבר של",مقدونيا، الجمهورية اليوغوسلافية السابقة من,"Μακεδονία, Πρώην Γιουγκοσλαβική Δημοκρατία της","Macedónia, Antiga República Jugoslava da","मैसिडोनिया, पूर्व Yugoslav गणराज्य","마케도니아, 전 유고 슬라비아 공화국"
162,Netherlands,Países Bajos,Hollanda,オランダ,荷兰,Paesi Bassi,Pays-Bas,Niederlande,Нидерланды,Nederland,הולנד,هولندا,Ολλανδία,Holanda,नीदरलैंड,네덜란드
164,Norway,Noruega,Norveç,ノルウェー,挪威,Norvegia,Norvège,Norwegen,Норвегия,Noorwegen,נורבגיה,النرويج,Νορβηγία,Noruega,नॉर्वे,노르웨이
175,Poland,Polonia,Polonya,ポーランド,波兰,Polonia,Pologne,Polen,Польша,Polen,פולין,بولندا,Πολωνία,Polônia,पोलैंड,폴란드
178,Portugal,Portugal,Portekiz,ポルトガル,葡萄牙,Portogallo,Portugal,Portugal,Португалия,Portugal,פורטוגל,البرتغال,Πορτογαλία,Portugal,पुर्तगाल,포르투갈
182,Romania,Rumania,Romanya,ルーマニア,罗马尼亚,Romania,Roumanie,Rumänien,Румыния,Roemenië,רומניה,رومانيا,Ρουμανία,Romênia,रोमानिया,루마니아
183,Russia,Rusia,Rusya,ロシア,俄国,Russia,Russie,Russland,Россия,Rusland,רוסיה,روسيا,Ρωσία,Rússia,रूस,러시아
195,Serbia,Serbia,Sırbistan,セルビア,塞尔维亚,Serbia,Serbie,Serbien,Сербии,Servië,סרביה,صربيا,Σερβία,Sérvia,सर्बिआ,세르비아
200,Slovakia,Eslovaquia,Slovakya,スロバキア,斯洛伐克,Slovacchia,La Slovaquie,Slowakei,Словакия,Slowakije,סלובקיה,سلوفاكيا,Σλοβακία,Eslováquia,स्लोवाकिया,슬로바키아
201,Slovenia,Eslovenia,Slovenya,スロベニア,斯洛文尼亚,Slovenia,La Slovénie,Slowenien,Словения,Slovenië,סלובניה,سلوفينيا,Σλοβενία,Eslovénia,स्लोवेनिया,슬로베니아
202,Sweden,Suecia,İsveç,スウェーデン,瑞典,Svezia,Suède,Schweden,Швеция,Zweden,שבדיה,السويد,Σουηδία,Suécia,स्वीडन,스웨덴
210,Tajikistan,Tayikistán,Tacikistan,タジキスタン,塔吉克斯坦,Tagikistan,Tadjikistan,Tadschikistan,Таджикистан,Tadzjikistan,טג'יקיסטן,طاجيكستان,Τατζικιστάν,Tajiquistão,ताजीकिस्तान,타지키스탄
211,Turkmenistan,Turkmenistán,Türkmenistan,トルクメニスタン,土库曼斯坦,Turkmenistan,Le Turkménistan,Turkmenistan,Туркменистан,Turkmenistan,טורקמניסטן,تركمانستان,Τουρκμενιστάν,Turcomenistão,तुर्कमेनिस्तान,투르크메 니스탄
216,Turkey,Turquía,Türkiye,トルコ,土耳其,Turchia,Turquie,Türkei,Турция,Turkije,טורקיה,تركيا,Τουρκία,Turquia,टर्की,터키
220,Ukraine,Ucrania,Ukrayna,ウクライナ,乌克兰,Ucraina,Ukraine,Ukraine,Украина,Oekraïne,אוקראינה,أوكرانيا,Ουκρανία,Ucrânia,यूक्रेन,우크라이나
224,Uzbekistan,Uzbekistán,Özbekistan,ウズベキスタン,乌兹别克斯坦,Uzbekistan,L'Ouzbékistan,Usbekistan,Узбекистан,Oezbekistan,אוזבקיסטן,أوزبكستان,Ουζμπεκιστάν,Uzbequistão,उज़्बेकिस्तान,우즈 베키스탄
12,Australia,Australia,Avustralya,オーストラリア,澳大利亚,Australia,Australie,Australien,Австралия,Australië,אוסטרליה,أستراليا,Αυστραλία,Austrália,ऑस्ट्रेलिया,호주
30,Brunei Darussalam,Brunei Darussalam,Brunei Sultanlığı,ブルネイ·ダルサラーム国,文莱,Brunei Darussalam,Brunéi Darussalam,Brunei Darussalam,Бруней-Даруссалам,Brunei Darussalam,ברוני דרוסלם,بروناي دار السلام,Μπρουνέι Νταρουσαλάμ,Brunei Darussalam,ब्रुनेई दारुसलाम,브루나이
38,China,China,Çin,中国,中国,Porcellana,Chine,China,Китай,China,סין,الصين,Κίνα,China,चीन,중국
68,Fiji,Fiyi,Fiji,フィジー,斐,Fiji,Fidji,Fidschi,Фиджи,Fiji,פיג'י,فيجي,Φίτζι,Fiji,फिजी,피지
71,"Micronesia, Federated States of","Micronesia, Estados Federados de","Mikronezya, Federe Devletleri",ミクロネシア連邦,密克罗尼西亚联邦,"Micronesia, Stati Federati di","Micronésie, États fédérés de","Mikronesien, Föderierte Staaten von","Микронезия, Федеративные Штаты","Micronesië, Federale Staten van","מיקרונזיה, המדינות המאוחדות של",ولايات ميكرونيزيا الموحدة من,"Μικρονησία, Ομόσπονδες Πολιτείες της","Micronésia, Estados Federados da","माइक्रोनेशिया, Federated की राज्य अमेरिका में","미크 로네시아, 로네시아"
85,Guam,Guam,Guam,グアム島,关岛,Guam,Guam,Guam,Гуам,Guam,גואם,غوام,Γκουάμ,Guam,गुआम,괌
88,Hong Kong,Hong Kong,Hong Kong,香港,香港,Hong Kong,Hong-Kong,Hongkong,Гонконг,Hong Kong,הונג קונג,هونج كونج,Χονγκ Κονγκ,Hong Kong,हाँग काँग,홍콩
94,Indonesia,Indonesia,Endonezya,インドネシア,印尼,Indonesia,Indonésie,Indonesien,Индонезия,Indonesië,אינדונזיה,أندونيسيا,Ινδονησία,Indonésia,इंडोनेशिया,인도네시아
105,Japan,Japón,Japonya,日本,日本,Giappone,Japon,Japan,Япония,Japan,יפן,اليابان,Ιαπωνία,Japão,जापान,일본
109,Cambodia,Camboya,Kamboçya,カンボジア,柬埔寨,Cambogia,Cambodge,Kambodscha,Камбоджа,Cambodja,קמבודיה,كمبوديا,Καμπότζη,Camboja,कंबोडिया,캄보디아
112,Republic of Korea,República de Corea,Kore Cumhuriyeti,韓国,韩国,Repubblica di Corea,République de Corée,Republik Korea,Республика Корея,Republiek Korea,הרפובליקה של קוריאה,جمهورية كوريا,Δημοκρατία της Κορέας,República da Coreia,कोरिया गणराज्य,대한민국
116,Lao People's Democratic Republic,"Democrática Popular Lao, República",Lao Demokratik Halk Cumhuriyeti,ラオス人民民主共和国,老挝人民民主共和国,Democratica popolare del Laos,Démocratique populaire lao République,Lao Demokratischen Volksrepublik,Лаосская Народно-Демократическая Республика,Lao Democratische Volksrepubliek,לאוס של,جمهورية لاو الديمقراطية,Λαϊκή Δημοκρατία του Λάος,República Democrática Popular do Laos,लाओस पीपुल डेमोक्रेटिक रिपब्लिक,라오스 인민 민주주의 공화국
132,"Macao SAR, China","La RAE de Macao, China","Macao SAR, Çin",マカオ、中国,澳门特别行政区，中国,"RAS di Macao, Cina","La RAS de Macao, en Chine","Macau, China","Макао, Китай","SAR Macao, China","מקאו SAR, סין",منطقة ماكاو الادارية الخاصة، والصين,"ΕΔΠ Μακάο, Κίνα","Macau, China","मकाओ खोज एवं बचाव, चीन","마카오 특별 행정구, 중국"
140,Marshall Islands,Las Islas Marshall,Marshall Adaları,マーシャル諸島共和国,马绍尔群岛,Isole Marshall,Iles Marshall,Marshall-Inseln,Маршалловы острова,Marshall Eilanden,איי מרשל,جزر مارشال,Νησιά Μάρσαλ,Ilhas Marshall,मार्शल द्वीप,마샬 군도
145,Myanmar,Myanmar,Myanmar,ビルマ,缅甸,Myanmar,Myanmar,Myanmar,Мьянма,Myanmar,בורמה,ميانمار,Μιανμάρ,Mianmar,म्यांमार,미얀마
148,Mongolia,Mongolia,Moğolistan,モンゴル国,蒙古,Mongolia,Mongolie,Mongolei,Монголия,Mongolië,מונגוליה,منغوليا,Μογγολία,Mongólia,मंगोलिया,몽골
154,Malaysia,Malasia,Malezya,マレーシア,马来西亚,Malaysia,Malaisie,Malaysia,Малайзия,Maleisië,מלזיה,ماليزيا,Μαλαισία,Malásia,मलेशिया,말레이시아
166,New Zealand,Nueva Zelanda,Yeni Zelanda,ニュージーランド,新西兰,Nuova Zelanda,Nouvelle-Zélande,Neuseeland,Новая Зеландия,Nieuw-Zeeland,ניו זילנד,نيوزيلندا,Νέα Ζηλανδία,Nova Zelândia,न्यूजीलैंड,뉴질랜드
172,Philippines,Filipinas,Filipinler,フィリピン,菲律宾,Filippine,Philippines,Philippinen,Филиппины,Filippijnen,הפיליפינים,الفلبين,Φιλιππίνες,Filipinas,फिलीपींस,필리핀
174,Papua New Guinea,Papua Nueva Guinea,Papua Yeni Gine,パプアニューギニア,巴布亚新几内亚,Papua Nuova Guinea,Papouasie-Nouvelle-Guinée,Papua-Neuguinea,Папуа-Новая Гвинея,Papoea-Nieuw-Guinea,פפואה גינאה החדשה,بابوا غينيا الجديدة,Παπούα Νέα Γουινέα,Papua Nova Guiné,पापुआ न्यू गिनी,파푸아 뉴 기니
177,Democratic People's Republic of Korea,República Popular Democrática de Corea,Kore Demokratik Halk Cumhuriyeti,朝鮮民主主義人民共和国,朝鲜人民民主共和国,Repubblica democratica popolare di Corea,République populaire démocratique de Corée,Demokratische Volksrepublik Korea,Корейская Народно-Демократическая Республика Корея,Democratische Volksrepubliek Korea,אנשים הדמוקרטית של הרפובליקה של קוריאה,الديمقراطية الشعبية جمهورية كوريا,Λαϊκή Δημοκρατία της Κορέας,República Popular Democrática da Coreia,डेमोक्रेटिक पीपुल्स कोरिया गणराज्य,조선 민주주의 인민 공화국
189,Singapore,Singapur,Singapur,シンガポール,新加坡,Singapore,Singapour,Singapur,Сингапур,Singapore,סינגפור,سنغافورة,Σιγκαπούρη,Cingapura,सिंगापुर,싱가포르
209,Thailand,Tailandia,Tayland,タイ,泰国,Thailandia,Thaïlande,Thailand,Таиланд,Thailand,תאילנד,تايلاند,Ταϊλάνδη,Tailândia,थाईलैंड,태국
228,Vietnam,Vietnam,Vietnam,ベトナム,越南,Vietnam,Vietnam,Vietnam,Вьетнам,Vietnam,וייטנאם,فيتنام,Βιετνάμ,Vietnã,वियतनाम,베트남
241,"Taiwan, Province of China","Taiwan, Provincia de China","Çin, Tayvan, İl",台湾、中国の県,中国台湾省,"Taiwan, Provincia della Cina","Taïwan, Province de Chine","Taiwan, Chinesische Provinz","Тайвань, провинция Китая","Taiwan, provincie van China","טייוואן, פרובינציה של סין",مقاطعة تايوان الصينية,"Ταϊβάν, Επαρχία της Κίνας","Taiwan, Província da China","ताइवान, चीन के प्रांत",중국 대만 성
245,Saint Pierre and Miquelon,San Pedro y Miquelón,Saint Pierre ve Miquelon,サンピエール島·ミクロン島,圣皮埃尔和密克隆,Saint-Pierre e Miquelon,Saint-Pierre-et-Miquelon,St. Pierre und Miquelon,Сен-Пьер и Микелон,Saint Pierre en Miquelon,סנט פייר ומיקלון,سان بيار وميكلون,Σεν Πιερ και Μικελόν,Saint Pierre e Miquelon,सेंट पियरे और मिकेलॉन,세인트 피에르 미퀠론
247,French Guiana,Francés de Guayana,Fransız Guyanası,仏領ギアナ,法属圭亚那,Guyana Francese,Guyane française,Französisch-Guayana,Французская Гвиана,Frans-Guyana,גיאנה הצרפתית,جويانا الفرنسية,Γαλλική Γουιάνα,Guiana Francesa,फ़्रेंच गयाना,프랑스령 기아나
258,Falkland Islands,De las Islas Malvinas,Falkland Adaları,フォークランド諸島,福克兰群岛,Isole Falkland,Îles Falkland,Falkland-Inseln,Фолклендские острова,Falkland Islands,איי פוקלנד,جزر فوكلاند,Νησιά Φώκλαντ,Ilhas Malvinas,फ़ॉकलैंड आइलैंड्स,포클랜드 제도
259,"Palestinian Territory, Occupied",Territorio Palestino Ocupado,"Filistin, işgal edilmiş",パレスチナ自治区、,巴勒斯坦占领区,Territorio palestinese occupato,"Palestinien Occupé, Territoire",Palästinensische Autonomiegebiete,"Палестинских территориях, занимаемых","Palestijnse Gebieden, Bezette","השטח הפלסטיני, הכבושה",الأرض الفلسطينية المحتلة,"Παλαιστινιακά Εδάφη, Κατεχόμενα",Territórios Palestinianos Ocupados,"फ़िलिस्तीनी राज्य क्षेत्र पर कब्जा कर लिया,",팔레스타인 자치 정부는 점령 지역
272,Antarctica,Antártida,Antarktika,南極,南极洲,Antartide,Antarctique,Antarktika,Антарктида,Antarctica,אנטארקטיקה,القارة القطبية الجنوبية,Ανταρκτική,Antártica,अंटार्टिका,남극
292,Martinique,Martinica,Martinik,マルティニーク島,马提尼克,Martinique,Martinique,Martinique,Мартиника,Martinique,מרטיניק,مارتينيك,Μαρτινίκα,Martinica,मार्टीनिक,마티니크
301,Norfolk Island,Norfolk Island,Norfolk Adası,ノーフォーク島,诺福克岛,Norfolk Island,L'île de Norfolk,Norfolk Island,Остров Норфолк,Norfolk Island,נורפוק,جزيرة نورفولك,Νησί Νόρφολκ,Norfolk Island,नॉरफ़ॉक आइलैंड,노퍽 섬
314,Anguilla,Anguila,Anguilla,アングィラ,安圭拉,Anguilla,Anguilla,Anguilla,Ангилья,Anguilla,אנגילה,أنغيلا,Ανγκουίλα,Anguilla,एंगुइल्ला,안길라
319,Western Sahara,El Sáhara Occidental,Batı Sahara,西サハラ,西撒哈拉,Sahara occidentale,Sahara Occidental,Westsahara,Западная Сахара,Westelijke Sahara,סהרה המערבית,الصحراء الغربية,Δυτική Σαχάρα,Saara Ocidental,पश्चिमी सहारा,서부 사하라
339,South Sudan,Sudán del Sur,Güney Sudan,南スーダン,苏丹南部,Sud Sudan,Sud-Soudan,Süd-Sudan,Южный Судан,Zuid-Soedan,דרום סודן,جنوب السودان,Νότιο Σουδάν,Sul do Sudão,दक्षिण सूडान,남부 수단
